Physics,Chemistry,Math,Computer,English,Total Marks,Percentages %,Grades,GPA,Final Results
17,33,71,63,35,219.0,43.8,C,1.7519999999999998,FAIL
16,68,6,12,89,191.0,38.2,C,1.528,FAIL
17,26,95,99,36,273.0,54.6,C+,2.184,FAIL
1,92,43,23,60,219.0,43.8,C,1.7519999999999998,FAIL
85,83,77,26,44,315.0,63.0,B,2.52,FAIL
2,5,81,23,17,128.0,25.6,NG,1.024,FAIL
86,68,34,85,54,327.0,65.4,B,2.616,FAIL
10,14,23,62,18,127.0,25.4,NG,1.016,FAIL
24,48,60,84,55,271.0,54.2,C+,2.168,FAIL
95,41,29,21,48,234.0,46.8,C,1.872,FAIL
16,70,74,16,5,181.0,36.2,C,1.4479999999999997,FAIL
79,69,83,16,45,292.0,58.4,C+,2.336,FAIL
8,15,24,36,59,142.0,28.4,NG,1.136,FAIL
30,98,30,56,47,261.0,52.2,C+,2.088,FAIL
80,50,42,42,8,222.0,44.4,C,1.776,FAIL
54,17,52,40,86,249.0,49.8,C,1.992,FAIL
68,98,53,30,31,280.0,56.0,C+,2.24,FAIL
96,79,53,6,27,261.0,52.2,C+,2.088,FAIL
18,63,97,97,38,313.0,62.6,B,2.504,FAIL
38,99,31,2,48,218.0,43.6,C,1.744,FAIL
86,97,37,40,25,285.0,57.0,C+,2.28,FAIL
73,2,88,47,66,276.0,55.2,C+,2.208,FAIL
62,17,96,43,37,255.0,51.0,C+,2.04,FAIL
78,95,3,8,11,195.0,39.0,C,1.56,FAIL
67,48,42,17,50,224.0,44.8,C,1.7920000000000003,FAIL
2,74,50,12,17,155.0,31.0,NG,1.24,FAIL
66,47,38,76,11,238.0,47.6,C,1.9039999999999997,FAIL
87,45,88,56,32,308.0,61.6,B,2.464,FAIL
47,81,4,62,30,224.0,44.8,C,1.7920000000000003,FAIL
2,87,57,44,6,196.0,39.2,C,1.568,FAIL
21,42,62,41,13,179.0,35.8,C,1.432,FAIL
43,31,15,10,40,139.0,27.8,NG,1.112,FAIL
37,18,65,78,12,210.0,42.0,C,1.68,FAIL
64,21,67,25,14,191.0,38.2,C,1.528,FAIL
48,70,68,25,65,276.0,55.2,C+,2.208,FAIL
7,23,9,1,95,135.0,27.0,NG,1.08,FAIL
77,56,24,61,36,254.0,50.8,C+,2.032,FAIL
12,34,21,97,85,249.0,49.8,C,1.992,FAIL
56,95,70,40,71,332.0,66.4,B,2.656,PASS
71,74,16,31,50,242.0,48.4,C,1.936,FAIL
86,93,83,27,74,363.0,72.6,B+,2.904,FAIL
60,97,70,39,2,268.0,53.6,C+,2.144,FAIL
72,83,80,71,58,364.0,72.8,B+,2.912,PASS
97,86,68,8,66,325.0,65.0,B,2.6,FAIL
92,44,81,34,75,326.0,65.2,B,2.608,FAIL
6,96,60,46,90,298.0,59.6,C+,2.384,FAIL
99,0,81,66,73,319.0,63.8,B,2.552,FAIL
73,8,76,43,49,249.0,49.8,C,1.992,FAIL
54,82,42,26,86,290.0,58.0,C+,2.32,FAIL
66,23,35,65,2,191.0,38.2,C,1.528,FAIL
89,81,51,23,10,254.0,50.8,C+,2.032,FAIL
75,9,87,64,34,269.0,53.8,C+,2.152,FAIL
53,23,90,65,64,295.0,59.0,C+,2.36,FAIL
46,4,85,57,21,213.0,42.6,C,1.704,FAIL
8,88,72,95,74,337.0,67.4,B,2.696,FAIL
7,88,45,28,8,176.0,35.2,C,1.408,FAIL
13,72,35,56,78,254.0,50.8,C+,2.032,FAIL
39,12,70,67,86,274.0,54.8,C+,2.192,FAIL
34,11,89,36,66,236.0,47.2,C,1.888,FAIL
71,79,26,36,73,285.0,57.0,C+,2.28,FAIL
55,92,2,1,99,249.0,49.8,C,1.992,FAIL
85,43,81,10,83,302.0,60.4,B,2.416,FAIL
53,4,10,9,23,99.0,19.8,NG,0.792,FAIL
86,11,4,32,54,187.0,37.4,C,1.496,FAIL
56,65,85,44,99,349.0,69.8,B,2.792,PASS
70,66,99,64,12,311.0,62.2,B,2.488,FAIL
31,70,1,48,90,240.0,48.0,C,1.92,FAIL
31,19,91,82,67,290.0,58.0,C+,2.32,FAIL
7,13,73,38,11,142.0,28.4,NG,1.136,FAIL
59,93,25,31,91,299.0,59.8,C+,2.392,FAIL
99,72,87,48,31,337.0,67.4,B,2.696,FAIL
7,49,81,53,93,283.0,56.6,C+,2.264,FAIL
10,10,8,3,68,99.0,19.8,NG,0.792,FAIL
11,47,31,53,54,196.0,39.2,C,1.568,FAIL
54,40,32,94,99,319.0,63.8,B,2.552,FAIL
52,88,63,77,64,344.0,68.8,B,2.752,PASS
51,40,48,42,72,253.0,50.6,C+,2.024,PASS
55,66,72,21,19,233.0,46.6,C,1.864,FAIL
85,99,77,57,11,329.0,65.8,B,2.6319999999999997,FAIL
81,91,71,31,66,340.0,68.0,B,2.72,FAIL
79,75,47,9,52,262.0,52.4,C+,2.096,FAIL
36,54,4,94,21,209.0,41.8,C,1.672,FAIL
30,61,47,95,4,237.0,47.4,C,1.896,FAIL
78,10,94,81,29,292.0,58.4,C+,2.336,FAIL
92,62,73,63,97,387.0,77.4,B+,3.096,PASS
42,51,74,40,17,224.0,44.8,C,1.7920000000000003,FAIL
61,56,88,69,66,340.0,68.0,B,2.72,PASS
7,97,44,59,61,268.0,53.6,C+,2.144,FAIL
6,53,2,37,88,186.0,37.2,C,1.4880000000000002,FAIL
89,27,66,54,51,287.0,57.4,C+,2.296,FAIL
87,33,5,3,61,189.0,37.8,C,1.5119999999999998,FAIL
3,40,93,12,92,240.0,48.0,C,1.92,FAIL
30,93,90,66,70,349.0,69.8,B,2.792,FAIL
33,94,82,4,69,282.0,56.4,C+,2.256,FAIL
18,62,77,6,75,238.0,47.6,C,1.9039999999999997,FAIL
10,51,90,23,18,192.0,38.4,C,1.536,FAIL
80,94,12,84,79,349.0,69.8,B,2.792,FAIL
60,53,19,32,69,233.0,46.6,C,1.864,FAIL
92,60,36,68,68,324.0,64.8,B,2.592,PASS
18,20,83,87,42,250.0,50.0,C+,2.0,FAIL
40,40,49,5,6,140.0,28.0,NG,1.12,FAIL
99,40,96,35,96,366.0,73.2,B+,2.928,PASS
95,6,71,27,46,245.0,49.0,C,1.96,FAIL
14,21,50,38,96,219.0,43.8,C,1.7519999999999998,FAIL
89,69,36,91,76,361.0,72.2,B+,2.888,PASS
26,89,24,53,3,195.0,39.0,C,1.56,FAIL
31,8,86,11,72,208.0,41.6,C,1.6640000000000001,FAIL
97,15,20,90,98,320.0,64.0,B,2.56,FAIL
84,94,10,67,13,268.0,53.6,C+,2.144,FAIL
76,1,96,17,15,205.0,41.0,C,1.64,FAIL
6,87,81,57,63,294.0,58.8,C+,2.352,FAIL
23,60,36,22,61,202.0,40.4,C,1.6160000000000003,FAIL
3,92,79,0,62,236.0,47.2,C,1.888,FAIL
11,80,93,45,85,314.0,62.8,B,2.512,FAIL
42,93,84,11,84,314.0,62.8,B,2.512,FAIL
14,84,29,79,95,301.0,60.2,B,2.408,FAIL
13,92,71,73,4,253.0,50.6,C+,2.024,FAIL
80,11,34,48,80,253.0,50.6,C+,2.024,FAIL
88,28,91,85,95,387.0,77.4,B+,3.096,FAIL
88,41,63,33,57,282.0,56.4,C+,2.256,FAIL
61,71,98,73,74,377.0,75.4,B+,3.016,PASS
65,45,56,16,28,210.0,42.0,C,1.68,FAIL
77,47,35,60,64,283.0,56.6,C+,2.264,PASS
21,64,29,51,62,227.0,45.4,C,1.8159999999999998,FAIL
79,36,36,22,20,193.0,38.6,C,1.544,FAIL
6,53,53,67,81,260.0,52.0,C+,2.08,FAIL
90,14,34,18,8,164.0,32.8,NG,1.3120000000000003,FAIL
92,13,74,20,73,272.0,54.4,C+,2.176,FAIL
35,94,84,45,2,260.0,52.0,C+,2.08,FAIL
35,68,56,11,3,173.0,34.6,NG,1.3839999999999997,FAIL
61,33,33,89,11,227.0,45.4,C,1.8159999999999998,FAIL
19,0,40,61,80,200.0,40.0,C,1.6,FAIL
76,67,47,25,16,231.0,46.2,C,1.848,FAIL
82,0,97,19,12,210.0,42.0,C,1.68,FAIL
36,63,1,53,65,218.0,43.6,C,1.744,FAIL
98,82,81,7,26,294.0,58.8,C+,2.352,FAIL
5,34,61,52,30,182.0,36.4,C,1.456,FAIL
65,19,7,56,99,246.0,49.2,C,1.9680000000000002,FAIL
55,79,92,24,65,315.0,63.0,B,2.52,FAIL
6,7,64,2,75,154.0,30.8,NG,1.232,FAIL
84,11,51,33,34,213.0,42.6,C,1.704,FAIL
75,65,38,40,76,294.0,58.8,C+,2.352,PASS
98,60,12,31,64,265.0,53.0,C+,2.12,FAIL
86,17,73,9,54,239.0,47.8,C,1.912,FAIL
88,99,56,34,41,318.0,63.6,B,2.544,FAIL
17,95,19,64,39,234.0,46.8,C,1.872,FAIL
53,75,8,88,63,287.0,57.4,C+,2.296,FAIL
80,84,6,30,40,240.0,48.0,C,1.92,FAIL
1,89,6,97,14,207.0,41.4,C,1.656,FAIL
67,61,63,17,24,232.0,46.4,C,1.8560000000000003,FAIL
23,23,88,69,56,259.0,51.8,C+,2.072,FAIL
86,16,77,9,15,203.0,40.6,C,1.624,FAIL
54,3,58,95,29,239.0,47.8,C,1.912,FAIL
62,90,35,4,17,208.0,41.6,C,1.6640000000000001,FAIL
43,48,34,44,31,200.0,40.0,C,1.6,FAIL
2,9,47,88,24,170.0,34.0,NG,1.36,FAIL
89,11,57,4,22,183.0,36.6,C,1.464,FAIL
53,36,46,17,81,233.0,46.6,C,1.864,FAIL
70,42,47,63,19,241.0,48.2,C,1.928,FAIL
19,96,16,70,40,241.0,48.2,C,1.928,FAIL
46,1,24,7,57,135.0,27.0,NG,1.08,FAIL
10,15,42,66,43,176.0,35.2,C,1.408,FAIL
87,67,50,36,44,284.0,56.8,C+,2.272,PASS
13,95,37,96,80,321.0,64.2,B,2.568,FAIL
63,76,40,82,87,348.0,69.6,B,2.784,PASS
75,65,90,52,76,358.0,71.6,B+,2.864,PASS
40,43,54,71,86,294.0,58.8,C+,2.352,PASS
45,18,53,83,75,274.0,54.8,C+,2.192,FAIL
4,75,82,93,9,263.0,52.6,C+,2.104,FAIL
46,8,95,82,73,304.0,60.8,B,2.432,FAIL
19,76,19,17,12,143.0,28.6,NG,1.144,FAIL
96,34,12,1,46,189.0,37.8,C,1.5119999999999998,FAIL
0,44,28,15,6,93.0,18.6,NG,0.7440000000000001,FAIL
82,43,23,80,51,279.0,55.8,C+,2.232,FAIL
24,87,95,10,96,312.0,62.4,B,2.496,FAIL
24,85,97,69,46,321.0,64.2,B,2.568,FAIL
34,2,74,57,22,189.0,37.8,C,1.5119999999999998,FAIL
11,85,78,32,84,290.0,58.0,C+,2.32,FAIL
2,63,3,63,51,182.0,36.4,C,1.456,FAIL
67,30,50,87,97,331.0,66.2,B,2.648,FAIL
61,74,98,10,40,283.0,56.6,C+,2.264,FAIL
22,86,41,43,57,249.0,49.8,C,1.992,FAIL
81,22,60,46,17,226.0,45.2,C,1.808,FAIL
52,57,48,11,53,221.0,44.2,C,1.768,FAIL
57,46,99,74,16,292.0,58.4,C+,2.336,FAIL
9,74,16,30,58,187.0,37.4,C,1.496,FAIL
91,48,8,45,75,267.0,53.4,C+,2.136,FAIL
28,42,35,67,75,247.0,49.4,C,1.976,FAIL
40,63,92,28,93,316.0,63.2,B,2.528,FAIL
30,36,55,93,77,291.0,58.2,C+,2.328,FAIL
16,49,94,76,11,246.0,49.2,C,1.9680000000000002,FAIL
73,61,59,53,4,250.0,50.0,C+,2.0,FAIL
14,42,75,98,80,309.0,61.8,B,2.472,FAIL
14,76,55,86,23,254.0,50.8,C+,2.032,FAIL
24,68,0,71,31,194.0,38.8,C,1.5520000000000003,FAIL
54,97,54,55,62,322.0,64.4,B,2.576,PASS
84,55,2,85,45,271.0,54.2,C+,2.168,FAIL
86,87,22,11,99,305.0,61.0,B,2.44,FAIL
91,78,70,78,71,388.0,77.6,B+,3.1040000000000005,PASS
14,99,24,44,25,206.0,41.2,C,1.648,FAIL
83,46,74,47,77,327.0,65.4,B,2.616,PASS
91,95,21,96,26,329.0,65.8,B,2.6319999999999997,FAIL
4,17,72,61,53,207.0,41.4,C,1.656,FAIL
47,2,85,11,13,158.0,31.6,NG,1.264,FAIL
19,51,90,75,17,252.0,50.4,C+,2.016,FAIL
31,26,71,86,69,283.0,56.6,C+,2.264,FAIL
23,69,94,93,28,307.0,61.4,B,2.456,FAIL
2,62,39,15,92,210.0,42.0,C,1.68,FAIL
89,75,45,39,69,317.0,63.4,B,2.536,PASS
3,6,4,66,28,107.0,21.4,NG,0.856,FAIL
61,32,76,88,64,321.0,64.2,B,2.568,FAIL
54,49,48,52,74,277.0,55.4,C+,2.216,PASS
63,17,35,32,57,204.0,40.8,C,1.632,FAIL
89,63,29,72,4,257.0,51.4,C+,2.056,FAIL
33,59,76,61,59,288.0,57.6,C+,2.304,FAIL
42,49,14,90,82,277.0,55.4,C+,2.216,FAIL
64,98,41,25,28,256.0,51.2,C+,2.048,FAIL
27,63,70,29,90,279.0,55.8,C+,2.232,FAIL
85,55,83,3,52,278.0,55.6,C+,2.224,FAIL
62,66,89,67,89,373.0,74.6,B+,2.984,PASS
38,67,9,78,8,200.0,40.0,C,1.6,FAIL
68,35,42,33,72,250.0,50.0,C+,2.0,FAIL
0,94,87,90,76,347.0,69.4,B,2.776,FAIL
30,82,29,27,7,175.0,35.0,C,1.4,FAIL
55,72,9,13,3,152.0,30.4,NG,1.216,FAIL
35,36,58,15,16,160.0,32.0,NG,1.28,FAIL
20,17,58,89,43,227.0,45.4,C,1.8159999999999998,FAIL
96,45,65,0,91,297.0,59.4,C+,2.376,FAIL
49,70,6,82,27,234.0,46.8,C,1.872,FAIL
45,2,0,87,92,226.0,45.2,C,1.808,FAIL
45,35,23,66,33,202.0,40.4,C,1.6160000000000003,FAIL
89,21,0,83,26,219.0,43.8,C,1.7519999999999998,FAIL
77,61,91,92,51,372.0,74.4,B+,2.9760000000000004,PASS
5,39,83,25,69,221.0,44.2,C,1.768,FAIL
60,45,94,1,83,283.0,56.6,C+,2.264,FAIL
63,26,69,79,61,298.0,59.6,C+,2.384,FAIL
39,14,59,8,33,153.0,30.6,NG,1.224,FAIL
95,67,34,51,80,327.0,65.4,B,2.616,FAIL
46,0,10,3,92,151.0,30.2,NG,1.208,FAIL
31,88,65,72,3,259.0,51.8,C+,2.072,FAIL
25,11,88,29,42,195.0,39.0,C,1.56,FAIL
67,26,30,42,41,206.0,41.2,C,1.648,FAIL
71,85,72,52,37,317.0,63.4,B,2.536,PASS
76,12,86,95,95,364.0,72.8,B+,2.912,FAIL
32,4,75,36,76,223.0,44.6,C,1.784,FAIL
89,15,5,80,46,235.0,47.0,C,1.88,FAIL
21,98,81,24,78,302.0,60.4,B,2.416,FAIL
12,70,38,74,12,206.0,41.2,C,1.648,FAIL
44,98,68,92,14,316.0,63.2,B,2.528,FAIL
77,95,21,86,49,328.0,65.6,B,2.6240000000000006,FAIL
78,99,4,60,3,244.0,48.8,C,1.952,FAIL
93,45,50,9,67,264.0,52.8,C+,2.112,FAIL
47,45,98,2,28,220.0,44.0,C,1.76,FAIL
2,94,21,43,30,190.0,38.0,C,1.52,FAIL
11,74,55,47,94,281.0,56.2,C+,2.248,FAIL
11,78,80,41,44,254.0,50.8,C+,2.032,FAIL
47,89,65,94,92,387.0,77.4,B+,3.096,PASS
76,60,49,19,69,273.0,54.6,C+,2.184,FAIL
25,98,96,74,63,356.0,71.2,B+,2.8480000000000003,FAIL
40,67,97,91,43,338.0,67.6,B,2.704,PASS
44,87,98,63,73,365.0,73.0,B+,2.92,PASS
14,5,11,48,92,170.0,34.0,NG,1.36,FAIL
70,7,47,0,95,219.0,43.8,C,1.7519999999999998,FAIL
4,84,47,67,98,300.0,60.0,B,2.4,FAIL
44,56,79,34,69,282.0,56.4,C+,2.256,FAIL
92,67,17,57,54,287.0,57.4,C+,2.296,FAIL
0,16,33,27,61,137.0,27.4,NG,1.096,FAIL
82,1,24,17,35,159.0,31.8,NG,1.272,FAIL
83,62,10,21,20,196.0,39.2,C,1.568,FAIL
63,32,40,90,31,256.0,51.2,C+,2.048,FAIL
16,10,21,13,99,159.0,31.8,NG,1.272,FAIL
4,55,93,50,7,209.0,41.8,C,1.672,FAIL
91,60,74,21,35,281.0,56.2,C+,2.248,FAIL
82,2,84,52,9,229.0,45.8,C,1.832,FAIL
73,11,1,45,76,206.0,41.2,C,1.648,FAIL
56,95,46,67,54,318.0,63.6,B,2.544,PASS
41,30,23,98,33,225.0,45.0,C,1.8,FAIL
90,34,55,48,13,240.0,48.0,C,1.92,FAIL
56,76,86,75,14,307.0,61.4,B,2.456,FAIL
86,99,0,3,11,199.0,39.8,C,1.592,FAIL
92,2,54,75,87,310.0,62.0,B,2.48,FAIL
96,81,19,95,74,365.0,73.0,B+,2.92,FAIL
62,5,89,4,78,238.0,47.6,C,1.9039999999999997,FAIL
87,21,55,6,65,234.0,46.8,C,1.872,FAIL
68,79,20,52,90,309.0,61.8,B,2.472,FAIL
5,60,67,41,9,182.0,36.4,C,1.456,FAIL
3,41,15,70,19,148.0,29.6,NG,1.184,FAIL
11,69,28,65,46,219.0,43.8,C,1.7519999999999998,FAIL
0,59,11,22,82,174.0,34.8,NG,1.392,FAIL
80,69,19,61,64,293.0,58.6,C+,2.344,FAIL
56,63,50,32,17,218.0,43.6,C,1.744,FAIL
90,77,18,89,2,276.0,55.2,C+,2.208,FAIL
47,23,17,4,57,148.0,29.6,NG,1.184,FAIL
8,13,45,98,4,168.0,33.6,NG,1.344,FAIL
64,42,0,62,6,174.0,34.8,NG,1.392,FAIL
11,84,84,68,35,282.0,56.4,C+,2.256,FAIL
66,90,45,44,85,330.0,66.0,B,2.64,PASS
87,10,10,53,19,179.0,35.8,C,1.432,FAIL
38,79,44,44,86,291.0,58.2,C+,2.328,PASS
36,79,74,81,75,345.0,69.0,B,2.76,PASS
18,26,8,27,8,87.0,17.4,NG,0.696,FAIL
7,56,36,23,57,179.0,35.8,C,1.432,FAIL
32,44,97,60,35,268.0,53.6,C+,2.144,FAIL
92,71,57,30,5,255.0,51.0,C+,2.04,FAIL
72,97,45,92,83,389.0,77.8,B+,3.112,PASS
68,58,62,59,14,261.0,52.2,C+,2.088,FAIL
92,67,57,34,73,323.0,64.6,B,2.5840000000000005,FAIL
38,18,81,61,71,269.0,53.8,C+,2.152,FAIL
77,46,84,5,81,293.0,58.6,C+,2.344,FAIL
80,35,94,81,27,317.0,63.4,B,2.536,FAIL
96,85,9,40,67,297.0,59.4,C+,2.376,FAIL
95,15,64,57,50,281.0,56.2,C+,2.248,FAIL
97,91,39,48,31,306.0,61.2,B,2.448,FAIL
28,41,14,28,86,197.0,39.4,C,1.5759999999999998,FAIL
63,6,45,72,97,283.0,56.6,C+,2.264,FAIL
66,18,59,17,91,251.0,50.2,C+,2.008,FAIL
99,83,4,71,50,307.0,61.4,B,2.456,FAIL
80,75,91,26,46,318.0,63.6,B,2.544,FAIL
53,69,25,18,84,249.0,49.8,C,1.992,FAIL
75,42,54,57,96,324.0,64.8,B,2.592,PASS
31,87,77,99,64,358.0,71.6,B+,2.864,FAIL
34,86,15,65,90,290.0,58.0,C+,2.32,FAIL
99,57,89,1,35,281.0,56.2,C+,2.248,FAIL
25,69,27,94,14,229.0,45.8,C,1.832,FAIL
2,36,59,28,52,177.0,35.4,C,1.416,FAIL
5,60,77,70,86,298.0,59.6,C+,2.384,FAIL
2,1,27,76,26,132.0,26.4,NG,1.056,FAIL
27,75,3,52,55,212.0,42.4,C,1.696,FAIL
76,69,52,26,31,254.0,50.8,C+,2.032,FAIL
26,32,75,51,25,209.0,41.8,C,1.672,FAIL
47,10,49,73,59,238.0,47.6,C,1.9039999999999997,FAIL
43,68,66,88,65,330.0,66.0,B,2.64,PASS
69,30,53,84,63,299.0,59.8,C+,2.392,FAIL
86,73,31,65,13,268.0,53.6,C+,2.144,FAIL
41,62,20,79,11,213.0,42.6,C,1.704,FAIL
3,11,9,11,42,76.0,15.2,NG,0.608,FAIL
9,53,75,27,69,233.0,46.6,C,1.864,FAIL
10,49,24,90,7,180.0,36.0,C,1.44,FAIL
61,31,50,94,78,314.0,62.8,B,2.512,FAIL
10,3,70,29,5,117.0,23.4,NG,0.936,FAIL
60,45,73,69,36,283.0,56.6,C+,2.264,PASS
66,92,1,72,84,315.0,63.0,B,2.52,FAIL
16,38,83,76,29,242.0,48.4,C,1.936,FAIL
72,16,35,23,43,189.0,37.8,C,1.5119999999999998,FAIL
30,76,15,74,55,250.0,50.0,C+,2.0,FAIL
22,62,3,88,17,192.0,38.4,C,1.536,FAIL
4,26,1,41,43,115.0,23.0,NG,0.92,FAIL
6,72,88,79,40,285.0,57.0,C+,2.28,FAIL
17,96,90,82,66,351.0,70.2,B+,2.8079999999999994,FAIL
19,27,16,2,25,89.0,17.8,NG,0.7120000000000001,FAIL
53,64,7,63,40,227.0,45.4,C,1.8159999999999998,FAIL
51,75,11,28,53,218.0,43.6,C,1.744,FAIL
84,96,42,56,26,304.0,60.8,B,2.432,FAIL
5,83,6,13,70,177.0,35.4,C,1.416,FAIL
75,60,4,62,26,227.0,45.4,C,1.8159999999999998,FAIL
85,47,19,62,41,254.0,50.8,C+,2.032,FAIL
39,60,53,55,74,281.0,56.2,C+,2.248,PASS
3,99,89,68,84,343.0,68.6,B,2.744,FAIL
72,7,91,17,74,261.0,52.2,C+,2.088,FAIL
57,50,72,54,62,295.0,59.0,C+,2.36,PASS
19,97,19,45,42,222.0,44.4,C,1.776,FAIL
2,45,60,56,82,245.0,49.0,C,1.96,FAIL
27,95,23,8,64,217.0,43.4,C,1.736,FAIL
13,11,59,50,43,176.0,35.2,C,1.408,FAIL
65,36,42,90,9,242.0,48.4,C,1.936,FAIL
55,88,96,36,88,363.0,72.6,B+,2.904,PASS
63,49,0,1,26,139.0,27.8,NG,1.112,FAIL
3,7,90,63,49,212.0,42.4,C,1.696,FAIL
56,56,86,91,90,379.0,75.8,B+,3.032,PASS
50,32,68,29,21,200.0,40.0,C,1.6,FAIL
92,90,81,13,48,324.0,64.8,B,2.592,FAIL
60,92,25,95,90,362.0,72.4,B+,2.8959999999999995,FAIL
13,85,61,37,34,230.0,46.0,C,1.84,FAIL
20,44,79,54,94,291.0,58.2,C+,2.328,FAIL
4,32,19,4,25,84.0,16.8,NG,0.672,FAIL
94,21,85,69,72,341.0,68.2,B,2.728,FAIL
69,45,34,50,99,297.0,59.4,C+,2.376,FAIL
6,69,33,39,18,165.0,33.0,NG,1.32,FAIL
89,75,51,8,44,267.0,53.4,C+,2.136,FAIL
57,21,94,40,26,238.0,47.6,C,1.9039999999999997,FAIL
2,69,6,24,90,191.0,38.2,C,1.528,FAIL
49,36,71,83,8,247.0,49.4,C,1.976,FAIL
20,20,67,51,78,236.0,47.2,C,1.888,FAIL
40,94,46,98,93,371.0,74.2,B+,2.968,PASS
74,16,92,40,70,292.0,58.4,C+,2.336,FAIL
67,86,52,50,47,302.0,60.4,B,2.416,PASS
6,72,36,58,66,238.0,47.6,C,1.9039999999999997,FAIL
49,73,90,1,67,280.0,56.0,C+,2.24,FAIL
70,96,62,54,56,338.0,67.6,B,2.704,PASS
83,93,38,88,78,380.0,76.0,B+,3.04,PASS
60,62,5,36,61,224.0,44.8,C,1.7920000000000003,FAIL
29,40,55,19,63,206.0,41.2,C,1.648,FAIL
71,17,28,8,94,218.0,43.6,C,1.744,FAIL
85,55,39,73,83,335.0,67.0,B,2.68,PASS
26,26,50,60,22,184.0,36.8,C,1.472,FAIL
47,48,96,78,51,320.0,64.0,B,2.56,PASS
50,78,60,4,33,225.0,45.0,C,1.8,FAIL
78,63,98,72,50,361.0,72.2,B+,2.888,PASS
96,74,48,49,31,298.0,59.6,C+,2.384,FAIL
6,34,33,79,81,233.0,46.6,C,1.864,FAIL
75,81,1,86,85,328.0,65.6,B,2.6240000000000006,FAIL
71,78,76,93,69,387.0,77.4,B+,3.096,PASS
1,26,7,41,58,133.0,26.6,NG,1.064,FAIL
26,94,32,89,59,300.0,60.0,B,2.4,FAIL
20,5,70,6,40,141.0,28.2,NG,1.128,FAIL
82,71,92,83,38,366.0,73.2,B+,2.928,PASS
6,87,46,19,66,224.0,44.8,C,1.7920000000000003,FAIL
94,16,4,32,60,206.0,41.2,C,1.648,FAIL
61,47,65,35,61,269.0,53.8,C+,2.152,PASS
57,29,9,50,85,230.0,46.0,C,1.84,FAIL
89,70,48,19,69,295.0,59.0,C+,2.36,FAIL
91,58,17,84,91,341.0,68.2,B,2.728,FAIL
29,1,88,68,18,204.0,40.8,C,1.632,FAIL
50,5,12,66,37,170.0,34.0,NG,1.36,FAIL
88,80,49,15,19,251.0,50.2,C+,2.008,FAIL
89,51,64,9,45,258.0,51.6,C+,2.064,FAIL
68,63,69,41,38,279.0,55.8,C+,2.232,PASS
79,57,86,31,66,319.0,63.8,B,2.552,FAIL
8,60,13,0,32,113.0,22.6,NG,0.904,FAIL
87,15,0,52,50,204.0,40.8,C,1.632,FAIL
63,65,43,77,3,251.0,50.2,C+,2.008,FAIL
73,36,20,54,88,271.0,54.2,C+,2.168,FAIL
74,52,81,76,92,375.0,75.0,B+,3.0,PASS
19,51,56,93,71,290.0,58.0,C+,2.32,FAIL
95,49,5,55,0,204.0,40.8,C,1.632,FAIL
94,23,68,32,42,259.0,51.8,C+,2.072,FAIL
30,37,64,64,93,288.0,57.6,C+,2.304,FAIL
36,92,9,34,46,217.0,43.4,C,1.736,FAIL
34,55,69,80,44,282.0,56.4,C+,2.256,FAIL
16,86,4,12,71,189.0,37.8,C,1.5119999999999998,FAIL
3,43,25,30,16,117.0,23.4,NG,0.936,FAIL
86,50,57,99,45,337.0,67.4,B,2.696,PASS
95,44,68,14,64,285.0,57.0,C+,2.28,FAIL
43,9,12,0,77,141.0,28.2,NG,1.128,FAIL
19,64,24,64,8,179.0,35.8,C,1.432,FAIL
95,84,17,62,57,315.0,63.0,B,2.52,FAIL
53,77,1,36,84,251.0,50.2,C+,2.008,FAIL
73,23,93,47,66,302.0,60.4,B,2.416,FAIL
36,87,73,88,24,308.0,61.6,B,2.464,FAIL
87,28,31,44,62,252.0,50.4,C+,2.016,FAIL
26,75,3,41,18,163.0,32.6,NG,1.304,FAIL
37,37,78,15,0,167.0,33.4,NG,1.3359999999999999,FAIL
75,84,79,88,45,371.0,74.2,B+,2.968,PASS
33,87,42,20,31,213.0,42.6,C,1.704,FAIL
20,33,63,79,24,219.0,43.8,C,1.7519999999999998,FAIL
5,15,71,50,9,150.0,30.0,NG,1.2,FAIL
60,60,8,79,9,216.0,43.2,C,1.7280000000000002,FAIL
35,78,38,2,74,227.0,45.4,C,1.8159999999999998,FAIL
15,16,48,43,7,129.0,25.8,NG,1.032,FAIL
23,56,9,69,51,208.0,41.6,C,1.6640000000000001,FAIL
22,88,51,97,9,267.0,53.4,C+,2.136,FAIL
68,2,53,94,44,261.0,52.2,C+,2.088,FAIL
14,88,10,40,10,162.0,32.4,NG,1.296,FAIL
70,71,91,5,72,309.0,61.8,B,2.472,FAIL
45,56,77,65,86,329.0,65.8,B,2.6319999999999997,PASS
51,9,59,48,39,206.0,41.2,C,1.648,FAIL
55,96,4,90,37,282.0,56.4,C+,2.256,FAIL
51,96,52,76,40,315.0,63.0,B,2.52,PASS
36,23,53,59,35,206.0,41.2,C,1.648,FAIL
56,1,11,18,19,105.0,21.0,NG,0.84,FAIL
22,61,33,35,76,227.0,45.4,C,1.8159999999999998,FAIL
33,84,5,75,55,252.0,50.4,C+,2.016,FAIL
49,28,34,63,71,245.0,49.0,C,1.96,FAIL
51,60,25,19,5,160.0,32.0,NG,1.28,FAIL
26,83,99,17,84,309.0,61.8,B,2.472,FAIL
