Physics,Chemistry,Math,Computer,Average Marks,Total Marks,Percentages %,Grades,Final Results
40,57,52,80,57.25,229.0,57.25,C+,PASS
84,22,2,55,40.75,163.0,40.75,C,FAIL
91,17,50,50,52.0,208.0,52.0,C+,FAIL
90,23,40,12,41.25,165.0,41.25,C,FAIL
4,96,77,14,47.75,191.0,47.75,C,FAIL
2,94,42,58,49.0,196.0,49.0,C,FAIL
49,64,1,54,42.0,168.0,42.0,C,FAIL
3,47,13,27,22.5,90.0,22.5,NG,FAIL
51,52,20,61,46.0,184.0,46.0,C,FAIL
22,3,94,81,50.0,200.0,50.0,C+,FAIL
10,55,85,65,53.75,215.0,53.75,C+,FAIL
33,21,86,50,47.5,190.0,47.5,C,FAIL
77,72,20,14,45.75,183.0,45.75,C,FAIL
30,50,4,51,33.75,135.0,33.75,NG,FAIL
42,65,53,79,59.75,239.0,59.75,C+,PASS
13,16,46,22,24.25,97.0,24.25,NG,FAIL
98,58,33,93,70.5,282.0,70.5,B+,FAIL
61,48,96,25,57.5,230.0,57.5,C+,FAIL
87,89,77,8,65.25,261.0,65.25,B,FAIL
43,25,67,70,51.25,205.0,51.25,C+,FAIL
70,44,67,29,52.5,210.0,52.5,C+,FAIL
43,1,10,10,16.0,64.0,16.0,NG,FAIL
21,19,23,16,19.75,79.0,19.75,NG,FAIL
18,39,13,58,32.0,128.0,32.0,NG,FAIL
87,46,22,71,56.5,226.0,56.5,C+,FAIL
20,2,32,89,35.75,143.0,35.75,C,FAIL
30,31,22,56,34.75,139.0,34.75,NG,FAIL
46,85,69,20,55.0,220.0,55.0,C+,FAIL
72,5,53,8,34.5,138.0,34.5,NG,FAIL
22,3,32,86,35.75,143.0,35.75,C,FAIL
48,55,2,58,40.75,163.0,40.75,C,FAIL
34,52,3,44,33.25,133.0,33.25,NG,FAIL
8,90,60,14,43.0,172.0,43.0,C,FAIL
84,50,78,61,68.25,273.0,68.25,B,PASS
33,75,63,27,49.5,198.0,49.5,C,FAIL
84,19,45,94,60.5,242.0,60.5,B,FAIL
49,11,69,28,39.25,157.0,39.25,C,FAIL
6,63,27,78,43.5,174.0,43.5,C,FAIL
8,43,10,10,17.75,71.0,17.75,NG,FAIL
54,52,55,6,41.75,167.0,41.75,C,FAIL
64,57,25,0,36.5,146.0,36.5,C,FAIL
4,59,83,25,42.75,171.0,42.75,C,FAIL
38,32,59,85,53.5,214.0,53.5,C+,FAIL
52,99,4,81,59.0,236.0,59.0,C+,FAIL
4,80,0,39,30.75,123.0,30.75,NG,FAIL
78,22,64,41,51.25,205.0,51.25,C+,FAIL
32,57,91,63,60.75,243.0,60.75,B,FAIL
59,84,59,73,68.75,275.0,68.75,B,PASS
94,77,44,79,73.5,294.0,73.5,B+,PASS
51,22,25,6,26.0,104.0,26.0,NG,FAIL
29,51,41,94,53.75,215.0,53.75,C+,FAIL
73,15,89,7,46.0,184.0,46.0,C,FAIL
31,7,47,58,35.75,143.0,35.75,C,FAIL
46,41,62,79,57.0,228.0,57.0,C+,PASS
42,64,25,1,33.0,132.0,33.0,NG,FAIL
47,69,58,48,55.5,222.0,55.5,C+,PASS
11,29,14,71,31.25,125.0,31.25,NG,FAIL
53,14,85,9,40.25,161.0,40.25,C,FAIL
4,4,76,21,26.25,105.0,26.25,NG,FAIL
14,75,32,92,53.25,213.0,53.25,C+,FAIL
34,58,15,18,31.25,125.0,31.25,NG,FAIL
3,95,74,50,55.5,222.0,55.5,C+,FAIL
75,95,57,79,76.5,306.0,76.5,B+,PASS
31,45,82,54,53.0,212.0,53.0,C+,FAIL
62,5,51,88,51.5,206.0,51.5,C+,FAIL
85,65,87,29,66.5,266.0,66.5,B,FAIL
0,54,35,16,26.25,105.0,26.25,NG,FAIL
69,46,87,7,52.25,209.0,52.25,C+,FAIL
31,0,98,2,32.75,131.0,32.75,NG,FAIL
47,86,72,15,55.0,220.0,55.0,C+,FAIL
74,31,64,17,46.5,186.0,46.5,C,FAIL
18,9,58,38,30.75,123.0,30.75,NG,FAIL
10,70,96,83,64.75,259.0,64.75,B,FAIL
52,56,78,99,71.25,285.0,71.25,B+,PASS
37,25,37,70,42.25,169.0,42.25,C,FAIL
22,76,43,77,54.5,218.0,54.5,C+,FAIL
94,92,15,85,71.5,286.0,71.5,B+,FAIL
27,20,31,21,24.75,99.0,24.75,NG,FAIL
84,61,65,60,67.5,270.0,67.5,B,PASS
31,39,61,39,42.5,170.0,42.5,C,FAIL
84,68,24,7,45.75,183.0,45.75,C,FAIL
14,22,77,55,42.0,168.0,42.0,C,FAIL
6,8,84,21,29.75,119.0,29.75,NG,FAIL
32,57,38,26,38.25,153.0,38.25,C,FAIL
14,28,39,94,43.75,175.0,43.75,C,FAIL
89,77,81,85,83.0,332.0,83.0,A,PASS
13,47,91,95,61.5,246.0,61.5,B,FAIL
33,61,39,15,37.0,148.0,37.0,C,FAIL
42,40,66,22,42.5,170.0,42.5,C,FAIL
21,73,72,39,51.25,205.0,51.25,C+,FAIL
97,7,14,4,30.5,122.0,30.5,NG,FAIL
56,3,99,26,46.0,184.0,46.0,C,FAIL
53,39,74,2,42.0,168.0,42.0,C,FAIL
67,44,22,52,46.25,185.0,46.25,C,FAIL
90,13,85,59,61.75,247.0,61.75,B,FAIL
67,28,99,37,57.75,231.0,57.75,C+,FAIL
54,84,1,98,59.25,237.0,59.25,C+,FAIL
44,37,91,31,50.75,203.0,50.75,C+,FAIL
56,14,34,26,32.5,130.0,32.5,NG,FAIL
69,5,66,63,50.75,203.0,50.75,C+,FAIL
74,74,63,0,52.75,211.0,52.75,C+,FAIL
78,29,80,90,69.25,277.0,69.25,B,FAIL
95,73,45,94,76.75,307.0,76.75,B+,PASS
62,48,96,79,71.25,285.0,71.25,B+,PASS
72,88,58,3,55.25,221.0,55.25,C+,FAIL
63,70,15,50,49.5,198.0,49.5,C,FAIL
53,81,87,77,74.5,298.0,74.5,B+,PASS
10,52,95,92,62.25,249.0,62.25,B,FAIL
81,63,47,36,56.75,227.0,56.75,C+,PASS
45,20,81,40,46.5,186.0,46.5,C,FAIL
81,24,27,73,51.25,205.0,51.25,C+,FAIL
58,74,11,93,59.0,236.0,59.0,C+,FAIL
46,64,81,44,58.75,235.0,58.75,C+,PASS
5,82,13,60,40.0,160.0,40.0,C,FAIL
54,93,39,58,61.0,244.0,61.0,B,PASS
40,73,52,32,49.25,197.0,49.25,C,FAIL
59,26,21,23,32.25,129.0,32.25,NG,FAIL
23,58,60,96,59.25,237.0,59.25,C+,FAIL
48,63,86,32,57.25,229.0,57.25,C+,FAIL
55,40,50,0,36.25,145.0,36.25,C,FAIL
52,41,56,2,37.75,151.0,37.75,C,FAIL
91,3,68,91,63.25,253.0,63.25,B,FAIL
97,59,73,72,75.25,301.0,75.25,B+,PASS
91,11,72,73,61.75,247.0,61.75,B,FAIL
21,12,43,27,25.75,103.0,25.75,NG,FAIL
24,93,15,13,36.25,145.0,36.25,C,FAIL
92,59,34,30,53.75,215.0,53.75,C+,FAIL
38,18,8,79,35.75,143.0,35.75,C,FAIL
75,8,31,30,36.0,144.0,36.0,C,FAIL
3,59,23,71,39.0,156.0,39.0,C,FAIL
57,66,1,59,45.75,183.0,45.75,C,FAIL
50,75,91,2,54.5,218.0,54.5,C+,FAIL
4,58,10,35,26.75,107.0,26.75,NG,FAIL
4,53,76,23,39.0,156.0,39.0,C,FAIL
32,31,16,35,28.5,114.0,28.5,NG,FAIL
21,8,61,36,31.5,126.0,31.5,NG,FAIL
38,78,28,96,60.0,240.0,60.0,B,FAIL
40,9,83,89,55.25,221.0,55.25,C+,FAIL
48,16,79,79,55.5,222.0,55.5,C+,FAIL
88,51,73,5,54.25,217.0,54.25,C+,FAIL
36,78,46,91,62.75,251.0,62.75,B,PASS
89,82,52,98,80.25,321.0,80.25,A,PASS
79,79,3,77,59.5,238.0,59.5,C+,FAIL
97,10,26,2,33.75,135.0,33.75,NG,FAIL
85,54,73,89,75.25,301.0,75.25,B+,PASS
99,91,27,86,75.75,303.0,75.75,B+,FAIL
68,86,26,34,53.5,214.0,53.5,C+,FAIL
78,36,69,22,51.25,205.0,51.25,C+,FAIL
65,91,87,52,73.75,295.0,73.75,B+,PASS
33,13,92,96,58.5,234.0,58.5,C+,FAIL
7,79,25,2,28.25,113.0,28.25,NG,FAIL
35,4,29,38,26.5,106.0,26.5,NG,FAIL
21,62,52,9,36.0,144.0,36.0,C,FAIL
31,51,85,91,64.5,258.0,64.5,B,FAIL
41,84,37,88,62.5,250.0,62.5,B,PASS
47,1,38,61,36.75,147.0,36.75,C,FAIL
53,71,10,45,44.75,179.0,44.75,C,FAIL
49,13,27,9,24.5,98.0,24.5,NG,FAIL
56,92,90,41,69.75,279.0,69.75,B,PASS
6,34,29,63,33.0,132.0,33.0,NG,FAIL
8,50,33,35,31.5,126.0,31.5,NG,FAIL
53,4,35,90,45.5,182.0,45.5,C,FAIL
95,68,67,67,74.25,297.0,74.25,B+,PASS
19,4,3,66,23.0,92.0,23.0,NG,FAIL
64,57,48,6,43.75,175.0,43.75,C,FAIL
47,30,30,94,50.25,201.0,50.25,C+,FAIL
84,12,15,79,47.5,190.0,47.5,C,FAIL
19,31,25,50,31.25,125.0,31.25,NG,FAIL
96,86,31,21,58.5,234.0,58.5,C+,FAIL
47,17,98,72,58.5,234.0,58.5,C+,FAIL
76,9,66,96,61.75,247.0,61.75,B,FAIL
12,72,96,20,50.0,200.0,50.0,C+,FAIL
2,65,15,25,26.75,107.0,26.75,NG,FAIL
39,36,52,55,45.5,182.0,45.5,C,PASS
95,8,87,12,50.5,202.0,50.5,C+,FAIL
59,0,20,84,40.75,163.0,40.75,C,FAIL
19,69,57,27,43.0,172.0,43.0,C,FAIL
53,27,76,90,61.5,246.0,61.5,B,FAIL
40,56,54,44,48.5,194.0,48.5,C,PASS
34,17,9,12,18.0,72.0,18.0,NG,FAIL
84,3,54,55,49.0,196.0,49.0,C,FAIL
65,66,37,78,61.5,246.0,61.5,B,PASS
27,45,27,65,41.0,164.0,41.0,C,FAIL
96,72,69,27,66.0,264.0,66.0,B,FAIL
72,89,10,53,56.0,224.0,56.0,C+,FAIL
64,55,65,29,53.25,213.0,53.25,C+,FAIL
77,57,67,50,62.75,251.0,62.75,B,PASS
46,55,86,33,55.0,220.0,55.0,C+,FAIL
30,69,7,21,31.75,127.0,31.75,NG,FAIL
58,0,87,73,54.5,218.0,54.5,C+,FAIL
55,29,54,2,35.0,140.0,35.0,C,FAIL
11,58,18,32,29.75,119.0,29.75,NG,FAIL
8,6,75,86,43.75,175.0,43.75,C,FAIL
70,92,44,12,54.5,218.0,54.5,C+,FAIL
85,99,68,98,87.5,350.0,87.5,A,PASS
38,24,45,87,48.5,194.0,48.5,C,FAIL
99,81,71,97,87.0,348.0,87.0,A,PASS
68,8,12,83,42.75,171.0,42.75,C,FAIL
23,12,12,88,33.75,135.0,33.75,NG,FAIL
93,99,63,41,74.0,296.0,74.0,B+,PASS
24,36,84,65,52.25,209.0,52.25,C+,FAIL
6,69,64,77,54.0,216.0,54.0,C+,FAIL
32,35,95,88,62.5,250.0,62.5,B,FAIL
92,73,57,9,57.75,231.0,57.75,C+,FAIL
28,60,35,53,44.0,176.0,44.0,C,FAIL
97,82,66,12,64.25,257.0,64.25,B,FAIL
28,86,12,39,41.25,165.0,41.25,C,FAIL
46,36,31,86,49.75,199.0,49.75,C,FAIL
29,12,48,89,44.5,178.0,44.5,C,FAIL
68,19,25,70,45.5,182.0,45.5,C,FAIL
99,36,54,79,67.0,268.0,67.0,B,PASS
89,21,4,14,32.0,128.0,32.0,NG,FAIL
43,75,55,43,54.0,216.0,54.0,C+,PASS
89,83,58,94,81.0,324.0,81.0,A,PASS
50,13,36,32,32.75,131.0,32.75,NG,FAIL
9,64,74,83,57.5,230.0,57.5,C+,FAIL
42,90,38,91,65.25,261.0,65.25,B,PASS
1,68,75,89,58.25,233.0,58.25,C+,FAIL
28,16,26,7,19.25,77.0,19.25,NG,FAIL
30,81,77,56,61.0,244.0,61.0,B,FAIL
90,60,66,49,66.25,265.0,66.25,B,PASS
26,88,73,22,52.25,209.0,52.25,C+,FAIL
68,18,30,8,31.0,124.0,31.0,NG,FAIL
17,52,74,35,44.5,178.0,44.5,C,FAIL
32,98,90,13,58.25,233.0,58.25,C+,FAIL
10,13,81,80,46.0,184.0,46.0,C,FAIL
63,85,12,17,44.25,177.0,44.25,C,FAIL
18,0,63,88,42.25,169.0,42.25,C,FAIL
36,49,30,52,41.75,167.0,41.75,C,FAIL
62,25,70,22,44.75,179.0,44.75,C,FAIL
74,77,84,46,70.25,281.0,70.25,B+,PASS
99,68,96,62,81.25,325.0,81.25,A,PASS
46,72,43,66,56.75,227.0,56.75,C+,PASS
80,19,57,78,58.5,234.0,58.5,C+,FAIL
41,92,4,13,37.5,150.0,37.5,C,FAIL
19,46,94,33,48.0,192.0,48.0,C,FAIL
29,49,86,6,42.5,170.0,42.5,C,FAIL
62,40,20,64,46.5,186.0,46.5,C,FAIL
81,27,60,48,54.0,216.0,54.0,C+,FAIL
2,30,96,76,51.0,204.0,51.0,C+,FAIL
23,9,69,2,25.75,103.0,25.75,NG,FAIL
26,75,48,22,42.75,171.0,42.75,C,FAIL
96,42,24,47,52.25,209.0,52.25,C+,FAIL
12,37,0,81,32.5,130.0,32.5,NG,FAIL
48,78,30,14,42.5,170.0,42.5,C,FAIL
33,1,52,14,25.0,100.0,25.0,NG,FAIL
63,3,67,36,42.25,169.0,42.25,C,FAIL
16,99,11,50,44.0,176.0,44.0,C,FAIL
22,76,43,76,54.25,217.0,54.25,C+,FAIL
86,78,65,79,77.0,308.0,77.0,B+,PASS
22,11,56,68,39.25,157.0,39.25,C,FAIL
30,3,83,14,32.5,130.0,32.5,NG,FAIL
9,89,1,71,42.5,170.0,42.5,C,FAIL
64,99,32,56,62.75,251.0,62.75,B,FAIL
77,84,25,40,56.5,226.0,56.5,C+,FAIL
35,59,71,87,63.0,252.0,63.0,B,PASS
9,72,72,76,57.25,229.0,57.25,C+,FAIL
34,11,90,41,44.0,176.0,44.0,C,FAIL
45,91,16,63,53.75,215.0,53.75,C+,FAIL
75,6,19,4,26.0,104.0,26.0,NG,FAIL
14,29,52,92,46.75,187.0,46.75,C,FAIL
17,54,31,77,44.75,179.0,44.75,C,FAIL
16,40,59,32,36.75,147.0,36.75,C,FAIL
50,86,86,3,56.25,225.0,56.25,C+,FAIL
52,10,89,50,50.25,201.0,50.25,C+,FAIL
54,96,97,57,76.0,304.0,76.0,B+,PASS
29,63,72,92,64.0,256.0,64.0,B,FAIL
35,96,84,66,70.25,281.0,70.25,B+,PASS
39,19,72,59,47.25,189.0,47.25,C,FAIL
43,13,23,25,26.0,104.0,26.0,NG,FAIL
52,2,24,71,37.25,149.0,37.25,C,FAIL
8,88,40,22,39.5,158.0,39.5,C,FAIL
68,38,68,98,68.0,272.0,68.0,B,PASS
1,30,42,64,34.25,137.0,34.25,NG,FAIL
8,11,39,17,18.75,75.0,18.75,NG,FAIL
4,76,90,41,52.75,211.0,52.75,C+,FAIL
84,81,7,52,56.0,224.0,56.0,C+,FAIL
74,22,19,84,49.75,199.0,49.75,C,FAIL
32,23,2,71,32.0,128.0,32.0,NG,FAIL
53,52,14,73,48.0,192.0,48.0,C,FAIL
91,32,95,63,70.25,281.0,70.25,B+,FAIL
23,93,72,8,49.0,196.0,49.0,C,FAIL
11,68,37,32,37.0,148.0,37.0,C,FAIL
74,32,88,72,66.5,266.0,66.5,B,FAIL
53,56,4,86,49.75,199.0,49.75,C,FAIL
93,38,78,51,65.0,260.0,65.0,B,PASS
62,64,12,82,55.0,220.0,55.0,C+,FAIL
13,77,84,80,63.5,254.0,63.5,B,FAIL
42,1,22,40,26.25,105.0,26.25,NG,FAIL
24,11,13,63,27.75,111.0,27.75,NG,FAIL
67,48,75,31,55.25,221.0,55.25,C+,FAIL
57,75,61,6,49.75,199.0,49.75,C,FAIL
81,4,9,12,26.5,106.0,26.5,NG,FAIL
39,15,15,67,34.0,136.0,34.0,NG,FAIL
36,24,52,64,44.0,176.0,44.0,C,FAIL
69,14,95,78,64.0,256.0,64.0,B,FAIL
3,76,10,55,36.0,144.0,36.0,C,FAIL
63,67,0,69,49.75,199.0,49.75,C,FAIL
42,37,52,80,52.75,211.0,52.75,C+,PASS
75,44,87,71,69.25,277.0,69.25,B,PASS
87,43,21,14,41.25,165.0,41.25,C,FAIL
61,21,56,92,57.5,230.0,57.5,C+,FAIL
1,99,56,71,56.75,227.0,56.75,C+,FAIL
55,95,87,44,70.25,281.0,70.25,B+,PASS
92,61,32,71,64.0,256.0,64.0,B,FAIL
27,19,43,79,42.0,168.0,42.0,C,FAIL
94,61,24,24,50.75,203.0,50.75,C+,FAIL
26,59,0,20,26.25,105.0,26.25,NG,FAIL
52,13,1,15,20.25,81.0,20.25,NG,FAIL
46,46,71,83,61.5,246.0,61.5,B,PASS
67,20,0,70,39.25,157.0,39.25,C,FAIL
75,33,81,66,63.75,255.0,63.75,B,FAIL
87,17,23,83,52.5,210.0,52.5,C+,FAIL
10,41,99,94,61.0,244.0,61.0,B,FAIL
51,39,17,90,49.25,197.0,49.25,C,FAIL
96,82,0,16,48.5,194.0,48.5,C,FAIL
96,81,21,84,70.5,282.0,70.5,B+,FAIL
50,79,27,83,59.75,239.0,59.75,C+,FAIL
60,40,20,7,31.75,127.0,31.75,NG,FAIL
15,93,40,66,53.5,214.0,53.5,C+,FAIL
65,61,7,52,46.25,185.0,46.25,C,FAIL
35,51,82,63,57.75,231.0,57.75,C+,PASS
44,66,22,25,39.25,157.0,39.25,C,FAIL
78,39,12,98,56.75,227.0,56.75,C+,FAIL
67,37,78,74,64.0,256.0,64.0,B,PASS
7,0,19,72,24.5,98.0,24.5,NG,FAIL
86,31,30,79,56.5,226.0,56.5,C+,FAIL
47,26,11,95,44.75,179.0,44.75,C,FAIL
84,21,51,9,41.25,165.0,41.25,C,FAIL
6,65,21,97,47.25,189.0,47.25,C,FAIL
32,73,40,4,37.25,149.0,37.25,C,FAIL
77,12,57,1,36.75,147.0,36.75,C,FAIL
23,58,44,93,54.5,218.0,54.5,C+,FAIL
59,90,59,20,57.0,228.0,57.0,C+,FAIL
25,35,53,34,36.75,147.0,36.75,C,FAIL
85,50,82,95,78.0,312.0,78.0,B+,PASS
76,62,30,66,58.5,234.0,58.5,C+,FAIL
8,86,80,92,66.5,266.0,66.5,B,FAIL
81,48,64,15,52.0,208.0,52.0,C+,FAIL
26,26,0,60,28.0,112.0,28.0,NG,FAIL
76,47,74,87,71.0,284.0,71.0,B+,PASS
67,81,9,94,62.75,251.0,62.75,B,FAIL
61,97,19,13,47.5,190.0,47.5,C,FAIL
9,97,69,79,63.5,254.0,63.5,B,FAIL
90,92,66,60,77.0,308.0,77.0,B+,PASS
69,49,31,30,44.75,179.0,44.75,C,FAIL
24,91,41,7,40.75,163.0,40.75,C,FAIL
9,46,6,7,17.0,68.0,17.0,NG,FAIL
68,87,10,68,58.25,233.0,58.25,C+,FAIL
46,64,81,27,54.5,218.0,54.5,C+,FAIL
11,95,67,7,45.0,180.0,45.0,C,FAIL
19,4,14,2,9.75,39.0,9.75,NG,FAIL
31,26,84,9,37.5,150.0,37.5,C,FAIL
80,18,69,2,42.25,169.0,42.25,C,FAIL
18,59,89,14,45.0,180.0,45.0,C,FAIL
76,91,69,77,78.25,313.0,78.25,B+,PASS
45,65,52,95,64.25,257.0,64.25,B,PASS
53,60,82,44,59.75,239.0,59.75,C+,PASS
63,35,91,82,67.75,271.0,67.75,B,PASS
94,76,53,80,75.75,303.0,75.75,B+,PASS
26,18,59,63,41.5,166.0,41.5,C,FAIL
20,45,29,14,27.0,108.0,27.0,NG,FAIL
87,59,43,60,62.25,249.0,62.25,B,PASS
31,65,23,59,44.5,178.0,44.5,C,FAIL
27,32,1,98,39.5,158.0,39.5,C,FAIL
67,71,57,64,64.75,259.0,64.75,B,PASS
87,91,12,88,69.5,278.0,69.5,B,FAIL
91,48,39,35,53.25,213.0,53.25,C+,PASS
67,53,15,40,43.75,175.0,43.75,C,FAIL
42,67,99,74,70.5,282.0,70.5,B+,PASS
7,91,38,11,36.75,147.0,36.75,C,FAIL
42,0,21,58,30.25,121.0,30.25,NG,FAIL
11,96,38,54,49.75,199.0,49.75,C,FAIL
32,2,72,54,40.0,160.0,40.0,C,FAIL
40,54,92,8,48.5,194.0,48.5,C,FAIL
9,19,55,26,27.25,109.0,27.25,NG,FAIL
65,10,33,68,44.0,176.0,44.0,C,FAIL
70,15,81,22,47.0,188.0,47.0,C,FAIL
65,95,46,34,60.0,240.0,60.0,B,FAIL
59,20,75,37,47.75,191.0,47.75,C,FAIL
70,95,93,34,73.0,292.0,73.0,B+,FAIL
83,56,22,87,62.0,248.0,62.0,B,FAIL
81,22,0,90,48.25,193.0,48.25,C,FAIL
71,61,1,97,57.5,230.0,57.5,C+,FAIL
84,4,15,14,29.25,117.0,29.25,NG,FAIL
42,30,52,38,40.5,162.0,40.5,C,FAIL
82,32,82,18,53.5,214.0,53.5,C+,FAIL
23,86,83,30,55.5,222.0,55.5,C+,FAIL
69,18,57,30,43.5,174.0,43.5,C,FAIL
87,58,36,12,48.25,193.0,48.25,C,FAIL
39,82,35,48,51.0,204.0,51.0,C+,PASS
53,20,47,75,48.75,195.0,48.75,C,FAIL
44,76,94,34,62.0,248.0,62.0,B,FAIL
89,71,42,56,64.5,258.0,64.5,B,PASS
29,51,99,25,51.0,204.0,51.0,C+,FAIL
98,45,9,27,44.75,179.0,44.75,C,FAIL
29,49,4,75,39.25,157.0,39.25,C,FAIL
43,28,33,33,34.25,137.0,34.25,NG,FAIL
94,66,96,5,65.25,261.0,65.25,B,FAIL
37,25,85,42,47.25,189.0,47.25,C,FAIL
57,90,9,37,48.25,193.0,48.25,C,FAIL
83,72,65,79,74.75,299.0,74.75,B+,PASS
60,61,53,31,51.25,205.0,51.25,C+,FAIL
21,48,86,53,52.0,208.0,52.0,C+,FAIL
76,79,9,45,52.25,209.0,52.25,C+,FAIL
64,62,30,53,52.25,209.0,52.25,C+,FAIL
7,84,7,54,38.0,152.0,38.0,C,FAIL
43,17,35,46,35.25,141.0,35.25,C,FAIL
53,46,52,0,37.75,151.0,37.75,C,FAIL
63,37,12,18,32.5,130.0,32.5,NG,FAIL
64,25,19,32,35.0,140.0,35.0,C,FAIL
45,8,5,35,23.25,93.0,23.25,NG,FAIL
60,17,86,25,47.0,188.0,47.0,C,FAIL
50,45,85,74,63.5,254.0,63.5,B,PASS
52,97,12,8,42.25,169.0,42.25,C,FAIL
15,53,14,98,45.0,180.0,45.0,C,FAIL
93,89,87,61,82.5,330.0,82.5,A,PASS
82,23,31,1,34.25,137.0,34.25,NG,FAIL
27,21,95,81,56.0,224.0,56.0,C+,FAIL
74,22,5,19,30.0,120.0,30.0,NG,FAIL
47,85,96,47,68.75,275.0,68.75,B,PASS
89,36,78,79,70.5,282.0,70.5,B+,PASS
28,57,29,72,46.5,186.0,46.5,C,FAIL
69,77,89,25,65.0,260.0,65.0,B,FAIL
65,5,53,58,45.25,181.0,45.25,C,FAIL
72,28,33,11,36.0,144.0,36.0,C,FAIL
39,40,23,67,42.25,169.0,42.25,C,FAIL
18,23,39,58,34.5,138.0,34.5,NG,FAIL
69,41,36,79,56.25,225.0,56.25,C+,PASS
18,91,45,55,52.25,209.0,52.25,C+,FAIL
67,15,97,98,69.25,277.0,69.25,B,FAIL
58,50,40,54,50.5,202.0,50.5,C+,PASS
40,98,83,47,67.0,268.0,67.0,B,PASS
68,61,20,13,40.5,162.0,40.5,C,FAIL
96,20,27,81,56.0,224.0,56.0,C+,FAIL
47,80,83,22,58.0,232.0,58.0,C+,FAIL
94,63,37,49,60.75,243.0,60.75,B,PASS
66,29,59,5,39.75,159.0,39.75,C,FAIL
64,1,57,56,44.5,178.0,44.5,C,FAIL
43,56,3,95,49.25,197.0,49.25,C,FAIL
62,67,99,44,68.0,272.0,68.0,B,PASS
13,48,1,43,26.25,105.0,26.25,NG,FAIL
97,90,69,39,73.75,295.0,73.75,B+,PASS
28,62,82,98,67.5,270.0,67.5,B,FAIL
82,36,8,8,33.5,134.0,33.5,NG,FAIL
44,79,24,62,52.25,209.0,52.25,C+,FAIL
81,28,76,15,50.0,200.0,50.0,C+,FAIL
19,44,6,1,17.5,70.0,17.5,NG,FAIL
4,71,45,16,34.0,136.0,34.0,NG,FAIL
15,5,95,80,48.75,195.0,48.75,C,FAIL
1,39,52,83,43.75,175.0,43.75,C,FAIL
53,29,24,64,42.5,170.0,42.5,C,FAIL
49,84,66,96,73.75,295.0,73.75,B+,PASS
59,26,50,40,43.75,175.0,43.75,C,FAIL
15,27,77,48,41.75,167.0,41.75,C,FAIL
72,49,46,27,48.5,194.0,48.5,C,FAIL
48,90,77,65,70.0,280.0,70.0,B+,PASS
73,91,62,24,62.5,250.0,62.5,B,FAIL
94,0,98,55,61.75,247.0,61.75,B,FAIL
96,48,97,25,66.5,266.0,66.5,B,FAIL
17,6,42,94,39.75,159.0,39.75,C,FAIL
9,17,31,50,26.75,107.0,26.75,NG,FAIL
87,18,29,48,45.5,182.0,45.5,C,FAIL
14,96,7,34,37.75,151.0,37.75,C,FAIL
66,15,70,82,58.25,233.0,58.25,C+,FAIL
50,1,19,31,25.25,101.0,25.25,NG,FAIL
59,42,38,88,56.75,227.0,56.75,C+,PASS
94,65,22,39,55.0,220.0,55.0,C+,FAIL
41,38,59,67,51.25,205.0,51.25,C+,PASS
48,47,33,53,45.25,181.0,45.25,C,FAIL
29,9,71,81,47.5,190.0,47.5,C,FAIL
45,82,12,4,35.75,143.0,35.75,C,FAIL
65,90,31,77,65.75,263.0,65.75,B,FAIL
61,40,82,5,47.0,188.0,47.0,C,FAIL
32,77,31,29,42.25,169.0,42.25,C,FAIL
1,27,96,85,52.25,209.0,52.25,C+,FAIL
51,42,53,20,41.5,166.0,41.5,C,FAIL
57,78,53,95,70.75,283.0,70.75,B+,PASS
86,15,77,21,49.75,199.0,49.75,C,FAIL
40,19,3,54,29.0,116.0,29.0,NG,FAIL
80,79,95,9,65.75,263.0,65.75,B,FAIL
40,21,53,94,52.0,208.0,52.0,C+,FAIL
11,19,7,27,16.0,64.0,16.0,NG,FAIL
24,68,84,55,57.75,231.0,57.75,C+,FAIL
58,84,88,97,81.75,327.0,81.75,A,PASS
92,67,50,3,53.0,212.0,53.0,C+,FAIL
92,21,77,96,71.5,286.0,71.5,B+,FAIL
79,31,75,82,66.75,267.0,66.75,B,FAIL
25,9,17,54,26.25,105.0,26.25,NG,FAIL
24,38,28,72,40.5,162.0,40.5,C,FAIL
16,51,34,13,28.5,114.0,28.5,NG,FAIL
34,45,21,32,33.0,132.0,33.0,NG,FAIL
74,61,68,34,59.25,237.0,59.25,C+,FAIL
6,31,32,17,21.5,86.0,21.5,NG,FAIL
0,35,25,81,35.25,141.0,35.25,C,FAIL
29,6,46,36,29.25,117.0,29.25,NG,FAIL
40,65,47,35,46.75,187.0,46.75,C,PASS
76,3,74,43,49.0,196.0,49.0,C,FAIL
65,18,34,61,44.5,178.0,44.5,C,FAIL
95,80,54,55,71.0,284.0,71.0,B+,PASS
92,56,91,83,80.5,322.0,80.5,A,PASS
47,69,45,25,46.5,186.0,46.5,C,FAIL
97,13,68,75,63.25,253.0,63.25,B,FAIL
72,6,95,6,44.75,179.0,44.75,C,FAIL
26,13,73,5,29.25,117.0,29.25,NG,FAIL
45,34,58,78,53.75,215.0,53.75,C+,FAIL
17,87,37,81,55.5,222.0,55.5,C+,FAIL
92,73,75,56,74.0,296.0,74.0,B+,PASS
43,63,87,46,59.75,239.0,59.75,C+,PASS
58,49,15,34,39.0,156.0,39.0,C,FAIL
